address,type,zip_code,city,price,living_area,plot_size,rooms,href
Noordeinde 99,woonhuis,1131 GE,Volendam,1595000,122 ,2550 ,5,/en/koop/volendam/huis-41440719-noordeinde-99/
Pironstraat 10,woonhuis,4571 VK,Axel,0,138 ,616 ,6,/en/koop/axel/huis-41528340-pironstraat-10/
Vledderlanden 1 -3,woonhuis,8381 XL,Vledder,4200000,263 ,107255 ,7,/en/koop/vledder/huis-41546949-vledderlanden-1-3/
Kneeskade 1 C,woonhuis,1761 JB,Anna Paulowna,1495000,269 ,3815 ,10,/en/koop/anna-paulowna/huis-41695428-kneeskade-1-c/
Jagerslaan (zuid) 2 A *,woonhuis,2243 EH,Wassenaar,6350000,702 ,12000 ,13,/en/koop/wassenaar/huis-41694619-jagerslaan-zuid-2-a/
J. C. de Leeuwweg 43,woonhuis,1764 NH,Breezand,598000,114 ,3753 ,5,/en/koop/breezand/huis-41623300-j-c-de-leeuwweg-43/
"Leeuweriklaan 1, kavel 1, type Alauda",woonhuis,5104,Dongen,1080000,177 ,1097 ,7,/en/koop/dongen/huis-41788123-leeuweriklaan-1-kavel-1-type-alauda/
Type Calanda (Bouwnr. 6),woonhuis,5104 PG,Dongen,1055000,159 ,,5,/en/koop/dongen/huis-41788381-type-calanda-bouwnr-6/
Type Galerida (Bouwnr. 3),woonhuis,5104 PG,Dongen,1085000,181 ,,7,/en/koop/dongen/huis-41788389-type-galerida-bouwnr-3/
Type Alauda (Bouwnr. 1),woonhuis,5104 PG,Dongen,1080000,177 ,,7,/en/koop/dongen/huis-41788387-type-alauda-bouwnr-1/
Type Erema (Bouwnr. 4),woonhuis,5104 PG,Dongen,1170000,233 ,,8,/en/koop/dongen/huis-41788380-type-erema-bouwnr-4/
"Leeuweriklaan 5, kavel 3, type Galerida",woonhuis,5104,Dongen,1085000,181 ,1109 ,7,/en/koop/dongen/huis-41788156-leeuweriklaan-5-kavel-3-type-galerida/
"Leeuweriklaan 10, kavel 6, type Calanda",woonhuis,5104,Dongen,1055000,159 ,1156 ,5,/en/koop/dongen/huis-41788121-leeuweriklaan-10-kavel-6-type-calanda/
"Leeuweriklaan 7, kavel 4, type Erema",woonhuis,5104,Dongen,1170000,233 ,1112 ,8,/en/koop/dongen/huis-41788159-leeuweriklaan-7-kavel-4-type-erema/
Turfwal 5,woonhuis,3751 AP,Bunschoten-Spakenburg,1250000,374 ,271 ,18,/en/koop/bunschoten-spakenburg/huis-87151513-turfwal-5/
Heukelomsebaan 9,woonhuis,5066 XG,Moergestel,0,161 ,64590 ,5,/en/koop/moergestel/huis-41799607-heukelomsebaan-9/
Einderstraat 58,woonhuis,6461 EP,Kerkrade,389000,320 ,327 ,8,/en/koop/kerkrade/huis-41706687-einderstraat-58/
Overstraat 14,woonhuis,6151 CN,Munstergeleen,250000,101 ,475 ,5,/en/koop/munstergeleen/huis-87162305-overstraat-14/
's-Gravenweg 78,woonhuis,2902 LE,Capelle aan den IJssel,1250000,327 ,1385 ,7,/en/koop/capelle-aan-den-ijssel/huis-41809572-s-gravenweg-78/
Schouwsedijk 7,woonhuis,4318 TM,Brouwershaven,499000,400 ,4756 ,8,/en/koop/brouwershaven/huis-87267025-schouwsedijk-7/
Goirkestraat 7,woonhuis,5046 GC,Tilburg,950000,460 ,1170 ,13,/en/koop/tilburg/huis-41812983-goirkestraat-7/
Midscheeps 107,woonhuis,9934 RT,Delfzijl,0,140 ,739 ,5,/en/koop/delfzijl/huis-41813818-midscheeps-107/
Lensheuvel 15,woonhuis,5541 BA,Reusel,895000,307 ,1784 ,7,/en/koop/reusel/huis-41831709-lensheuvel-15/
Paauwlaan 1,woonhuis,2243 AA,Wassenaar,2100000,227 ,1535 ,6,/en/koop/wassenaar/huis-41839115-paauwlaan-1/
Jhr Opperdoes Alewijnstraat 1,woonhuis,8302 AP,Emmeloord,689500,333 ,1011 ,7,/en/koop/emmeloord/huis-87352477-jhr-opperdoes-alewijnstraat-1/
Tramstraat 107,woonhuis,5104 GK,Dongen,525000,101 ,545 ,5,/en/koop/dongen/huis-41999738-tramstraat-107/
Kloosterstraat 26,woonhuis,5094 EB,Lage Mierde,650000,1190 ,,6,/en/koop/lage-mierde/huis-87379556-kloosterstraat-26/
Sniederslaan 154 - 156,woonhuis,5531 EN,Bladel,1075000,382 ,1870 ,8,/en/koop/bladel/huis-41912931-sniederslaan-154-156/
Bredaseweg 510,woonhuis,5036 NB,Tilburg,0,335 ,94665 ,7,/en/koop/tilburg/huis-41946434-bredaseweg-510/
Nijverheidssingel 393,woonhuis,4811 ZZ,Breda,1390000,370 ,592 ,5,/en/koop/breda/huis-87301628-nijverheidssingel-393/
Oude Schoolstraat 13,woonhuis,5257 NA,Hedikhuizen,1700000,267 ,21025 ,6,/en/koop/hedikhuizen/huis-87428439-oude-schoolstraat-13/
Warmoesstraat 25,woonhuis,1791 CN,Den Burg,0,263 ,169 ,6,/en/koop/den-burg/huis-87435318-warmoesstraat-25/
Hertelaan 15,woonhuis,2243 EK,Wassenaar,11950000,738 ,31305 ,14,/en/koop/wassenaar/huis-40220682-hertelaan-15/
Delftweg 50,woonhuis,2289 AL,Rijswijk (ZH),1595000,240 ,8980 ,9,/en/koop/rijswijk-zh/huis-41912033-delftweg-50/
Tweede Weg 1,woonhuis,3248 LN,Melissant,700000,112 ,10340 ,3,/en/koop/melissant/huis-41098717-tweede-weg-1/
Eemnesserweg 95,woonhuis,3743 AG,Baarn,695000,73 ,355 ,5,/en/koop/baarn/huis-41019338-eemnesserweg-95/
Hertog Hendriklaan 9,woonhuis,3743 DL,Baarn,4950000,520 ,1799 ,10,/en/koop/baarn/huis-41030575-hertog-hendriklaan-9/
Ringvaart-Schipholdijk 500 -502,woonhuis,1432 CC,Aalsmeer,1600000,269 ,3595 ,10,/en/koop/aalsmeer/huis-41045020-ringvaart-schipholdijk-500-502/
Looxmagracht 6,woonhuis,8603 AB,Sneek,369000,139 ,174 ,7,/en/koop/sneek/huis-41043755-looxmagracht-6/
Soestdijkerweg 17,woonhuis,3734 MG,Den Dolder,5950000,1563 ,54110 ,31,/en/koop/den-dolder/huis-41152838-soestdijkerweg-17/
Van Kinsbergenstraat 5,woonhuis,7311 BL,Apeldoorn,575000,93 ,138 ,7,/en/koop/apeldoorn/huis-41165910-van-kinsbergenstraat-5/
Badhuisstraat 139 141,woonhuis,4382 AL,Vlissingen,550000,262 ,150 ,5,/en/koop/vlissingen/huis-41106333-badhuisstraat-139-141/
Vlissingsestraat 239,woonhuis,4388 HC,Oost-Souburg,2500000,187 ,7690 ,2,/en/koop/oost-souburg/huis-41105074-vlissingsestraat-239/
Polstraat 92,woonhuis,4261 BV,Wijk en Aalburg,795000,171 ,5495 ,5,/en/koop/wijk-en-aalburg/huis-41115983-polstraat-92/
Havendam 20,woonhuis,3262 AE,Oud-Beijerland,650000,218 ,199 ,5,/en/koop/oud-beijerland/huis-41118066-havendam-20/
Hofvilla (Bouwnr. 5),woonhuis,2831 BJ,Gouderak,1395000,214 ,825 ,5,/en/koop/gouderak/huis-41113020-hofvilla-bouwnr-5/
Gagelweg 15,woonhuis,4651 VL,Steenbergen (NB),1050000,165 ,11395 ,6,/en/koop/steenbergen-nb/huis-87585846-gagelweg-15/
Rijksstraatweg 99 - 101,woonhuis,2988 BB,Ridderkerk,0,234 ,1894 ,8,/en/koop/ridderkerk/huis-41144525-rijksstraatweg-99-101/
Volgerweg 86 b,woonhuis,1461 CB,Zuidoostbeemster,1195000,160 ,1305 ,4,/en/koop/zuidoostbeemster/huis-41256045-volgerweg-86-b/
Sweenslag 14,woonhuis,5469 KA,Erp,2500000,602 ,9390 ,10,/en/koop/erp/huis-41111841-sweenslag-14/
Markt 16,woonhuis,4501 CK,Oostburg,289000,132 ,224 ,7,/en/koop/oostburg/huis-41276593-markt-16/
Platteweg 14,woonhuis,2811 HP,Reeuwijk,2000000,143 ,8775 ,4,/en/koop/reeuwijk/huis-87637837-platteweg-14/
Utrechtseweg 444,woonhuis,6865 CP,Doorwerth,0,703 ,2384 ,10,/en/koop/doorwerth/huis-41152989-utrechtseweg-444/
Plesmanduin (Bouwnr. 23),woonhuis,2597 JG,Den Haag,766000,153 ,,3,/en/koop/den-haag/huis-41289490-plesmanduin-bouwnr-23/
Voorstraat 112,woonhuis,4153 AN,Beesd,650000,157 ,180 ,7,/en/koop/beesd/huis-41232717-voorstraat-112/
Achteronder 23,woonhuis,8322 AJ,Urk,495000,169 ,404 ,5,/en/koop/urk/huis-41234672-achteronder-23/
Binnenpad 3,woonhuis,4576 CD,Koewacht,385000,140 ,453 ,6,/en/koop/koewacht/huis-41245738-binnenpad-3/
Brusselseweg 520,woonhuis,6219 NP,Maastricht,1350000,525 ,8775 ,9,/en/koop/maastricht/huis-87601034-brusselseweg-520/
Markt 113 A/B,woonhuis,6161 GN,Geleen,325000,110 ,69 ,5,/en/koop/geleen/huis-41356203-markt-113-a-b/
Boezelgracht 122,woonhuis,1132 PL,Volendam,425000,158 ,135 ,4,/en/koop/volendam/huis-41351942-boezelgracht-122/
Sniederslaan 76 78,woonhuis,5531 EM,Bladel,650000,700 ,865 ,5,/en/koop/bladel/huis-41353177-sniederslaan-76-78/
Jachthaven 1,woonhuis,2172 JX,Sassenheim,0,52 ,56 ,3,/en/koop/sassenheim/huis-87718371-jachthaven-1/
Rijksweg 2,woonhuis,6095 NB,Baexem,995000,279 ,16879 ,1,/en/koop/baexem/huis-41365670-rijksweg-2/
Vledderlanden 1 -3,woonhuis,8381 XL,Vledder,4200000,263 ,107255 ,7,/en/koop/vledder/huis-41365141-vledderlanden-1-3/
Heiveldstraat 79 a en b,woonhuis,6466 AH,Kerkrade,595000,372 ,2329 ,10,/en/koop/kerkrade/huis-41369109-heiveldstraat-79-a-en-b/
Tongerlolaan 9,woonhuis,5527 BC,Hapert,789000,267 ,885 ,5,/en/koop/hapert/huis-87726441-tongerlolaan-9/
Kerkstraat 3 a,woonhuis,4751 HL,Oud Gastel,0,295 ,216 ,5,/en/koop/oud-gastel/huis-41363417-kerkstraat-3-a/
Kerkstraat 5,woonhuis,4751 HL,Oud Gastel,0,215 ,178 ,4,/en/koop/oud-gastel/huis-41363426-kerkstraat-5/
Essenlaan 24,woonhuis,2251 AT,Voorschoten,1000000,340 ,2080 ,8,/en/koop/voorschoten/huis-41379525-essenlaan-24/
Mesa Verde 12,woonhuis,1448 XZ,Purmerend,1100000,230 ,720 ,6,/en/koop/purmerend/huis-41387791-mesa-verde-12/
Donkhorst 2,woonhuis,5066 PN,Moergestel,995000,195 ,2313 ,4,/en/koop/moergestel/huis-41382173-donkhorst-2/
Koeveringsedijk 12 a,woonhuis,4651 PK,Steenbergen (NB),0,922 ,30930 ,20,/en/koop/steenbergen-nb/huis-87752506-koeveringsedijk-12-a/
Zwaluwstraat 1,woonhuis,6414 VV,Heerlen,287500,115 ,497 ,10,/en/koop/heerlen/huis-41399727-zwaluwstraat-1/
Patersweg 2,woonhuis,5951 NC,Belfeld,775000,250 ,1700 ,5,/en/koop/belfeld/huis-87758696-patersweg-2/
Klooster 24,woonhuis,7741 ND,Coevorden,1025000,353 ,3090 ,8,/en/koop/coevorden/huis-41300136-klooster-24/
Baambrugse Zuwe 141 B,woonhuis,3645 AE,Vinkeveen,4975000,607 ,3870 ,12,/en/koop/vinkeveen/huis-41309204-baambrugse-zuwe-141-b/
Einsteinstraat 8,woonhuis,7701 SB,Dedemsvaart,0,132 ,1320 ,7,/en/koop/dedemsvaart/huis-41302451-einsteinstraat-8/
Caumerstraat 80,woonhuis,6467 GM,Kerkrade,549900,196 ,800 ,7,/en/koop/kerkrade/huis-87766643-caumerstraat-80/
Industrieweg 13,woonhuis,7161 BX,Neede,565000,169 ,1205 ,6,/en/koop/neede/huis-87770196-industrieweg-13/
Vrijstaande woning (Bouwnr. 1),woonhuis,8315,Luttelgeest,499500,133 ,643 ,4,/en/koop/luttelgeest/huis-41318899-vrijstaande-woning-bouwnr-1/
Karissendijk 9,woonhuis,5987 NJ,Egchel,949000,367 ,19458 ,9,/en/koop/egchel/huis-41310506-karissendijk-9/
Peuterdijk 43 A,woonhuis,3249 AW,Herkingen,495000,225 ,287 ,4,/en/koop/herkingen/huis-41319334-peuterdijk-43-a/
Voorstraat 16,woonhuis,4132 AR,Vianen (UT),895000,279 ,285 ,9,/en/koop/vianen-ut/huis-41317067-voorstraat-16/
Midstraat 24 26,woonhuis,8501 AP,Joure,849000,331 ,482 ,6,/en/koop/joure/huis-87781757-midstraat-24-26/
Hulkesteinseweg 35,woonhuis,6812 DB,Arnhem,1195000,315 ,951 ,8,/en/koop/arnhem/huis-41328050-hulkesteinseweg-35/
Hullerpad 26 A,woonhuis,6741 PA,Lunteren,525000,208 ,424 ,5,/en/koop/lunteren/huis-41320928-hullerpad-26-a/
Eridanusstraat 3,woonhuis,9742 PZ,Groningen,550000,154 ,260 ,5,/en/koop/groningen/huis-41322341-eridanusstraat-3/
Op 't Zand 3,woonhuis,7131 JB,Lichtenvoorde,0,235 ,12485 ,3,/en/koop/lichtenvoorde/huis-41323251-op-t-zand-3/
Noordhaven 46 48,woonhuis,4761 DB,Zevenbergen,492500,345 ,220 ,6,/en/koop/zevenbergen/huis-41337571-noordhaven-46-48/
Veerkensweg 1,woonhuis,4751 CR,Oud Gastel,395000,233 ,456 ,7,/en/koop/oud-gastel/huis-87792667-veerkensweg-1/
Loevestraat 45,woonhuis,5961 TW,Horst,0,228 ,824 ,11,/en/koop/horst/huis-41339328-loevestraat-45/
Hoogstraat 7,woonhuis,4524 AA,Sluis,1250000,273 ,613 ,7,/en/koop/sluis/huis-87794729-hoogstraat-7/
Tussenwoning (Bouwnr. 14),woonhuis,3985 PK,Werkhoven,538000,130 ,147 ,5,/en/koop/werkhoven/huis-41332495-tussenwoning-bouwnr-14/
Hoekwoning (Bouwnr. 18),woonhuis,3985 PK,Werkhoven,527000,130 ,122 ,5,/en/koop/werkhoven/huis-41332471-hoekwoning-bouwnr-18/
Oude Deldensestraat 5,woonhuis,7478 PL,Diepenheim,1295000,437 ,49485 ,9,/en/koop/diepenheim/huis-87796838-oude-deldensestraat-5/
Provincialeweg 133 A*,woonhuis,9863 PE,Doezum,1185000,165 ,41190 ,5,/en/koop/doezum/huis-41334251-provincialeweg-133-a/
Baarschotsestraat 20,woonhuis,5087 KW,Diessen,819000,196 ,2162 ,4,/en/koop/diessen/huis-41345884-baarschotsestraat-20/
Brinkeweg 11,woonhuis,7109 BN,Winterswijk Miste,750000,263 ,1721 ,6,/en/koop/winterswijk-miste/huis-41345111-brinkeweg-11/
Gijsbrecht van Amstelstraat 99 en 99A,woonhuis,1214 AV,Hilversum,525000,118 ,134 ,6,/en/koop/hilversum/huis-41342906-gijsbrecht-van-amstelstraat-99-en-99a/
Dorpsstraat 183,woonhuis,4451 KE,Heinkenszand,1450000,273 ,9960 ,6,/en/koop/heinkenszand/huis-41341073-dorpsstraat-183/
Vormerseweg 57,woonhuis,6605 LX,Wijchen,974500,223 ,1005 ,8,/en/koop/wijchen/huis-41342314-vormerseweg-57/
Hoge Langendijk 1,woonhuis,4706 PX,Roosendaal,1490000,340 ,7049 ,8,/en/koop/roosendaal/huis-42456841-hoge-langendijk-1/
Heerenhofweg 1,woonhuis,6281 AR,Mechelen,595000,300 ,475 ,9,/en/koop/mechelen/huis-88810827-heerenhofweg-1/
Oudelandsedijk 26,woonhuis,3245 LH,Sommelsdijk,1250000,164 ,15030 ,6,/en/koop/sommelsdijk/huis-88814830-oudelandsedijk-26/
Dorpsstraat 280,woonhuis,4711 EP,St. Willebrord,649500,114 ,2790 ,3,/en/koop/st-willebrord/huis-88814614-dorpsstraat-280/
Veertels 5,woonhuis,5133 NL,Riel,1250000,395 ,1025 ,8,/en/koop/riel/huis-42450285-veertels-5/
Dorpstraat 3,woonhuis,6091 NJ,Leveroy,495000,444 ,390 ,13,/en/koop/leveroy/huis-42452451-dorpstraat-3/
Veldhofstraat 51 a,woonhuis,6471 CD,Eygelshoven,249000,285 ,252 ,6,/en/koop/eygelshoven/huis-42452284-veldhofstraat-51-a/
Priamusstraat 1,woonhuis,1363 VD,Almere,690000,161 ,175 ,6,/en/koop/almere/huis-42452276-priamusstraat-1/
Arjaan Katsmanstraat 26,woonhuis,4471 DA,Wolphaartsdijk,399000,135 ,271 ,5,/en/koop/wolphaartsdijk/huis-88818046-arjaan-katsmanstraat-26/
Zoutestraat 129,woonhuis,4561 TB,Hulst,910000,178 ,15805 ,6,/en/koop/hulst/huis-88826189-zoutestraat-129/
Torenstraat 15,woonhuis,4353 AA,Serooskerke (Gem. Veere),549000,535 ,712 ,9,/en/koop/serooskerke-gem-veere/huis-42462788-torenstraat-15/
Vlasbloem 17,woonhuis,4566 BP,Heikant,679000,229 ,728 ,4,/en/koop/heikant/huis-88827166-vlasbloem-17/
Weverij 14,woonhuis,4566 BZ,Heikant,713000,159 ,986 ,5,/en/koop/heikant/huis-88827374-weverij-14/
Kamerlingheplein 1,woonhuis,9712 TR,Groningen,1399000,370 ,141 ,7,/en/koop/groningen/huis-42471145-kamerlingheplein-1/
Ambachtsweg 2,woonhuis,7765 BX,Weiteveen,995000,457 ,5881 ,7,/en/koop/weiteveen/huis-42472730-ambachtsweg-2/
Oosteinde 2,woonhuis,9431 AV,Westerbork,625000,192 ,2299 ,7,/en/koop/westerbork/huis-88838631-oosteinde-2/
Tilburgseweg 176,woonhuis,5051 AM,Goirle,1550000,244 ,8761 ,7,/en/koop/goirle/huis-42485260-tilburgseweg-176/
Tilburgseweg 176,woonhuis,5051 AM,Goirle,1550000,244 ,8761 ,7,/en/koop/goirle/huis-42486071-tilburgseweg-176/
Menkemaborg 52,woonhuis,8226 TC,Lelystad,925000,327 ,1087 ,9,/en/koop/lelystad/huis-42488942-menkemaborg-52/
Burgemeester Van Waninglaan 16,woonhuis,2924 AT,Krimpen aan den IJssel,890000,205 ,447 ,6,/en/koop/krimpen-aan-den-ijssel/huis-42481589-burgemeester-van-waninglaan-16/
Utrechts Kindercomitestraat 55,woonhuis,3527 KW,Utrecht,792500,153 ,,4,/en/koop/utrecht/huis-42482367-utrechts-kindercomitestraat-55/
Golfdomein Brugse Vaart 22,woonhuis,4501 NC,Oostburg,1395000,350 ,1279 ,6,/en/koop/oostburg/huis-88848315-golfdomein-brugse-vaart-22/
Gezinswoning (Bouwnr. 1),woonhuis,9685,Blauwestad,494950,169 ,,5,/en/koop/blauwestad/huis-42484078-gezinswoning-bouwnr-1/
Schooldijk 107,woonhuis,7844 KA,Veenoord,729000,246 ,1575 ,7,/en/koop/veenoord/huis-42495801-schooldijk-107/
Groenlandse kade 10,woonhuis,3645 BD,Vinkeveen,580000,85 ,620 ,3,/en/koop/vinkeveen/huis-42496041-groenlandse-kade-10/
Prins Hendriklaan 416 418,woonhuis,6443 AG,Brunssum,975000,317 ,1110 ,10,/en/koop/brunssum/huis-42497617-prins-hendriklaan-416-418/
Jazzboog 3 - Fieramente/ 75,woonhuis,4337,Middelburg,725000,177 ,,6,/en/koop/middelburg/huis-42497722-jazzboog-3-fieramente-75/
Ceintuurbaan 4 -21,woonhuis,3847 LE,Harderwijk,289000,50 ,285 ,4,/en/koop/harderwijk/huis-88853948-ceintuurbaan-4-21/
Amstelwijck Park 2 onder 1 kap,woonhuis,3317 NM,Dordrecht,657250,146 ,,5,/en/koop/dordrecht/huis-42490072-amstelwijck-park-2-onder-1-kap/
Zandeind 40 c,woonhuis,5133 AC,Riel,0,195 ,130955 ,8,/en/koop/riel/huis-42493985-zandeind-40-c/
